version,run,trialNumber,stim,respond
A,6,1,F,1
A,6,2,G,1
A,6,3,J,1
A,6,4,L,1
A,6,5,N,1
A,6,6,Q,1
A,6,7,S,1
A,6,8,V,1
A,6,9,C,0
A,6,10,Y,1
A,6,11,B,1
A,6,12,D,1
A,6,13,H,1
A,6,14,K,1
A,6,15,M,1
A,6,16,P,1
A,6,17,C,0
A,6,18,S,1
A,6,19,V,1
A,6,20,X,1
A,6,21,Z,1
A,6,22,F,1
A,6,23,G,1
A,6,24,J,1
A,6,25,L,1
A,6,26,N,1
A,6,27,Q,1
A,6,28,S,1
A,6,29,C,0
A,6,30,W,1
A,6,31,Y,1
A,6,32,B,1
A,6,33,C,0
A,6,34,G,1
A,6,35,J,1
A,6,36,L,1
A,6,37,C,0
A,6,38,P,1
A,6,39,R,1
A,6,40,T,1
A,6,41,W,1
A,6,42,Y,1
A,6,43,B,1
A,6,44,D,1
A,6,45,C,0
A,6,46,J,1
A,6,47,L,1
A,6,48,N,1
A,6,49,Q,1
A,6,50,S,1
A,6,51,V,1
A,6,52,X,1
A,6,53,Z,1
A,6,54,F,1
A,6,55,G,1
A,6,56,J,1
A,6,57,L,1
A,6,58,N,1
A,6,59,C,0
A,6,60,R,1
