version,run,trialNumber,stim,respond
B,5,1,F,1
B,5,2,G,1
B,5,3,V,1
B,5,4,F,1
B,5,5,C,1
B,5,6,Q,1
B,5,7,S,1
B,5,8,V,1
B,5,9,N,0
B,5,10,Y,1
B,5,11,B,1
B,5,12,D,1
B,5,13,H,1
B,5,14,K,1
B,5,15,M,1
B,5,16,P,1
B,5,17,N,0
B,5,18,S,1
B,5,19,V,1
B,5,20,X,1
B,5,21,Z,1
B,5,22,F,1
B,5,23,G,1
B,5,24,V,1
B,5,25,F,1
B,5,26,C,1
B,5,27,Q,1
B,5,28,S,1
B,5,29,N,0
B,5,30,W,1
B,5,31,Y,1
B,5,32,B,1
B,5,33,N,0
B,5,34,C,1
B,5,35,H,1
B,5,36,V,1
B,5,37,N,0
B,5,38,P,1
B,5,39,R,1
B,5,40,T,1
B,5,41,W,1
B,5,42,Y,1
B,5,43,B,1
B,5,44,D,1
B,5,45,N,0
B,5,46,C,1
B,5,47,V,1
B,5,48,C,1
B,5,49,Q,1
B,5,50,S,1
B,5,51,V,1
B,5,52,X,1
B,5,53,Z,1
B,5,54,F,1
B,5,55,G,1
B,5,56,C,1
B,5,57,V,1
B,5,58,C,1
B,5,59,N,0
B,5,60,R,1
